Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"Design Space Exploration of Per-Application Tailored Kernels","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55065","Pierre Olivier","1 student","H","H","True"
"Develop a Context-Aware Access Control (CAAC) Decision Engine","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55113","Ning Zhang","2 students","C","C","False"
"Development of an Application for Data Consumers in Digital Data Marketplaces","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55417","Sandra Sampaio","1 student","C","C","True"
"Engaging History Tools","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55287","Bijan Parsia","6 students","F","F","False"
"Enigma Machine Simulator","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55173","Thomas Carroll","2 students","F","F","False"
"Evaluating task graph scheduling algorithms","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55369","Rizos Sakellariou","2 students","C","C","True"
"Evaluating the accuracy of Movebase in a Nuclear Remote Inspection Scenario","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55107","Louise Dennis","1 student","F","F","False"
"Everything Happens Somewhere","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55050","Mary Mcgee Wood","3 students","F","F","True"
"Exercise Monitor","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55102","Tim Morris","1 student","F","F","False"
"Game of Dots and Boxes (aka: Squares)","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55174","Thomas Carroll","2 students","F","F","False"
"Good ol' linux ical for Windows","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55164","Richard Banach","1 student","F","F","False"
"GPU-based simulations of magnetic racetrack memories","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55398","Christoforos Moutafis","1 student","H","H","True"
"How many students will apply for this project?","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55110","Gavin Brown","1 student","C","C","False"
"How reliable are hard disk (HDD) and solid state (SSD) drives?","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55073","Tom Thomson","1 student","C","C","False"
"Interval Deep Evidential Classification for Medical and Inverse Problems","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55371","Caprio Michele","2 students","F","F","True"
"Local Energy Markets with Grid Constraints","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55321","Mustafa Mustafa","1 student","F","F","True"
"Local Energy Markets with User Preferences","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55317","Mustafa Mustafa","1 student","F","F","False"
"Localisation App to Visualise Blood Glucose Levels for Type 1 Diabetics","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55195","Paul Nutter","1 student","F","F","False"
"Logic and automated reasoning","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55183","Uli Sattler","4 students","F","F","True"
"Make programs small again","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55191","Pavlos Petoumenos","1 student","H","C","True"
"Managing Crowdsourced Points of Interest Information","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55064","Mary Mcgee Wood","3 students","F","F","False"
"Modelling Polarization in Social Networks","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55125","Louise Dennis","2 students","F","F","True"
"Modular Patch Storage/Library","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55261","Sean Bechhofer","1 student","F","F","False"
"Modular Synthesis with VCV Rack","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55260","Sean Bechhofer","3 students","C","C","False"
"My Little Operating System","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55266","Jim Garside","3 students","C","F","False"
"My Mortgage Modeller","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55026","Gavin Brown","1 student","F","F","False"
"N-Version Testing","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55289","Bijan Parsia","4 students","F","F","False"
"Non-standard automated reasoning","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55184","Uli Sattler","4 students","F","F","True"
"Panorama Creation","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55258","Sean Bechhofer","3 students","F","F","False"
"Performance Estimation Across Instruction Set Architectures","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55067","Pierre Olivier","1 student","H","H","False"
"Predicting a program's cache behaviour","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55190","Pavlos Petoumenos","1 student","F","F","True"
"Privacy-cost trade-off in electricity load shifting (with LLMs)","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55319","Mustafa Mustafa","2 students","F","F","True"
"Revolutionising Academic Scheduling with Advanced Timetabling Solutions","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55046","Gareth Henshall","2 students","F","F","False"
"Room occupancy viewing and booking system","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55210","Paul Nutter","1 student","F","F","False"
""Simple assistive software: design"," development"," and evaluation"","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057","Mary Mcgee Wood","3 students","C","M","True"
""Simple assistive software: design"," development"," and evaluation"","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057","Mary Mcgee Wood","3 students","C","M","True"
"Simulating string playing to make physical modelling synthesis more realistic","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55232","Joseph Razavi","1 student","F","F","False"
"Social Network Analysis and Metrics","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55370","Rizos Sakellariou","2 students","C","C","True"
"Software Analysis and Large Language Models","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55315","Youcheng Sun","1 student","F","H","True"
"Statically predict the runtime behaviour of parts of a program","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55189","Pavlos Petoumenos","2 students","H","H","True"
"Strategic Scheduling Solutions: Elevating the Six Nations Rugby Experience","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55043","Gareth Henshall","2 students","F","F","False"
"Synaesthetic Computing","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55128","Kung-kiu Lau","3 students","F","F","False"
"Teaching Software Engineering","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55290","Bijan Parsia","8 students","F","F","False"
"Type 1 Diabetes Food Management System","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55198","Paul Nutter","1 student","F","F","False"
"Validating semantic artefact profiles for Research Object Crates","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55352","Stian Soiland-reyes","2 students","F","F","True"
"Verification of Deep Neural Networks","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55053","Lucas Cordeiro","2 students","F","F","False"
"Verifying Python Programs in Robotic Applications","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55055","Lucas Cordeiro","2 students","F","F","False"
"Visualising Infinity","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55129","Kung-kiu Lau","2 students","F","F","False"
"Will it merge?","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55188","Pavlos Petoumenos","1 student","C","C","True"
"3D Hand tracking from monocular RGB","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55421","Aphrodite Galata","3 students","C","C","True"
"Activity Monitor","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55101","Tim Morris","1 student","F","F","False"
"Animation of avatars using human motion capture data","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55424","Aphrodite Galata","2 students","C","C","False"
"Camera viewpoint","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55106","Tim Morris","1 student","H","C","False"
"Chess Tutor","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55304","Terry Morley","2 students","F","F","True"
"Climbing Animation Simulator","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55252","David Petrescu","2 students","F","F","False"
"Computer Vision aids for the confused","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55105","Tim Morris","1 student","F","F","False"
"GymBuddy: Computer Vision based Fitness Assistant","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55425","Aphrodite Galata","2 students","C","C","True"
"Implementing a Graphical User Interface for Network Simulator 3","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55031","Stewart Blakeway","4 students","H","M","False"
"Night-time image processing","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55104","Tim Morris","1 student","H","C","False"
"Non-realtime rendering of a 3D scene as pixel art","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55235","Joseph Razavi","1 student","F","F","False"
"Photo Collage","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55426","Aphrodite Galata","1 student","C","C","False"
"Recognising Street Furniture","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55099","Tim Morris","1 student","F","F","False"
"Sensitivity to complex geometry simplifications using Nanite.","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55202","David Petrescu","2 students","C","C","True"
"Super Resolution","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55103","Tim Morris","1 student","F","F","False"
"Tracking football players","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55420","Aphrodite Galata","2 students","C","C","False"
"Video Synthesis","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55428","Aphrodite Galata","1 student","C","C","False"
"Virtual Reality Models","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55100","Tim Morris","2 students","F","F","False"
"Virtual tourist","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55109","Tim Morris","1 student","F","F","False"
"What can I see?","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55098","Tim Morris","1 student","C","F","False"
"Which way is up - extracting information from magnetic images","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55047","Tom Thomson","2 students","C","H","True"
"A Blockchain-based Application","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55114","Ning Zhang","2 students","C","C","False"
"A Cross-domain Auditing Service","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55116","Ning Zhang","2 students","C","M","False"
"A RBAC (Role Based Access Control) Simulator","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55111","Ning Zhang","3 students","F","F","False"
"Automated Testing of Neural Network Software Implementations via Fuzzing","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55404","Edoardo Manino","2 students","F","F","True"
"Benchmark tests for FAIR Digital Objects","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55353","Stian Soiland-reyes","2 students","F","F","True"
"Blockchain-based Online Poker","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55122","Bernardo Magri","1 student","F","F","True"
"Directions on Cryptography","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55120","Bernardo Magri","2 students","H","H","True"
"Host Based Intrusion Detection in a Cloud Environment","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55115","Ning Zhang","2 students","H","C","False"
"Investigation of Digital Forensic Techniques","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55112","Ning Zhang","2 students","H","H","False"
"Linux Kernel Testing with Large Language Models","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55314","Youcheng Sun","1 student","F","F","True"
""MANETs"," VANETs and FANETs"","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035","Stewart Blakeway","4 students","M","M","False"
""MANETs"," VANETs and FANETs"","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035","Stewart Blakeway","4 students","M","M","False"
"Miner Extractable Value (MEV) opportunities","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55121","Bernardo Magri","1 student","H","H","True"
"Privacy Preserving and Verifiable Billing in Local Energy Markets","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55322","Mustafa Mustafa","2 students","H","H","False"
"Privacy-Preserving Neural Network Inference via Homomorphic Encryption","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55401","Edoardo Manino","2 students","F","F","True"
"Proof-of-stake Bitcoin","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55123","Bernardo Magri","1 student","H","H","True"
"Routing Protocol Performance in Mobile Ad hoc Networks","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55039","Stewart Blakeway","5 students","M","M","False"
"Software Compartmentalisation","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55069","Pierre Olivier","1 student","H","H","True"
"Verification and Testing of Deep Learning Systems","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55312","Youcheng Sun","1 student","F","F","True"
"Verifying Information Flow Security for Blockchain-based Smart Contracts","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55059","Lucas Cordeiro","2 students","M","M","False"
"Web3 Application","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55229","Bernardo Magri","4 students","F","F","True"
"A Deep Dive into Bregman Divergences","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55327","Gavin Brown","1 student","F","F","True"
"A Machine Learning approach to Crude Oil Price Prediction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55144","Xiao-jun Zeng","1 student","F","F","False"
"A machine learning approach to forecasting of currency exchange rates","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55145","Xiao-jun Zeng","1 student","F","F","False"
"A robot-composer","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55385","Ainur Begalinova","1 student","F","F","True"
"Advancing Robotic Hand Manipulation for Diverse Object Interaction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55375","Ainur Begalinova","2 students","F","F","True"
"AI Image Generation","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55344","Tingting Mu","3 students","H","H","False"
"An Investigation of Voting as a means to Resolve Moral Uncertainty","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55084","Louise Dennis","1 student","C","C","False"
"Applying Text Analytics and Machine Learning to Study AI/ML Research Trends","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55345","Tingting Mu","1 student","H","H","False"
"Audio Classification via Deep Learning","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55025","Ke Chen","3 students","N","H","True"
"Benchmarking Machine Ethics","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55085","Louise Dennis","1 student","H","C","False"
"Bio-inspired vision with neuromorphic computing","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55400","Oliver Rhodes","7 students","H","C","True"
"Can ChatGPT help requirement engineers to classify user requirements?","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55217","Liping Zhao","3 students","H","C","True"
"Can ChatGPT help users to compose user stores for their software requirements?","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55222","Liping Zhao","3 students","C","M","True"
"Car Co-driver Mobile Phone App","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55293","Terry Morley","2 students","F","F","False"
"Chaotic Systems and Neural Nets","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55299","Anirbit Mukherjee","2 students","C","C","True"
"Character Recognition using Mathematical Morphology","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55168","Francisco Lobo","2 students","F","F","False"
"Classification of app reviews for requirements engineering using deep learning models","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55227","Liping Zhao","3 students","C","M","True"
"Cognitive Robotics and AI","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55042","Angelo Cangelosi","2 students","C","C","True"
""Computational Fluid Dynamics"," OpenFoam and Neural Operators"","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301","Anirbit Mukherjee","2 students","M","M","True"
""Computational Fluid Dynamics"," OpenFoam and Neural Operators"","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301","Anirbit Mukherjee","2 students","M","M","True"
"Computing the size of game trees","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55306","Jon Shapiro","2 students","M","F","False"
"Constructing Explanations for Description Logic Reasoning","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55208","Francisco Lobo","2 students","F","F","False"
"Dashboard for symbolic machine learning prover SMLP","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55248","Konstantin Korovin","1 student","F","F","True"
"Deceptive Planning Techniques for Robotic Motion Planning Tasks","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55324","Ramon Fraga Pereira","2 students","F","F","False"
"Enhancing human-robot interaction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55379","Ainur Begalinova","2 students","F","F","True"
"Evidential-Bayes Theory for Continual Learning","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55351","Caprio Michele","2 students","F","F","True"
"Exploring dynamic deep neural network architectures","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55388","Davide Bertozzi","1 student","H","C","True"
"Exploring Generalized Linear Models","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55349","Gavin Brown","1 student","C","C","True"
"Extending a Beliefs-Desires-Intentions Library for Python to allow Logical Reasoning","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55086","Louise Dennis","1 student","H","C","False"
"Face expression recognition","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55386","Ainur Begalinova","1 student","F","F","True"
"Facial Expression Analysis and Recognition via Deep Learning","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55030","Ke Chen","2 students","N","H","True"
"Feature compression for analysing models","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55244","Konstantin Korovin","1 student","H","H","True"
"Future Robotics Autonomy: Computer Vision-Based Third-View Smart Robot Control and Operation","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55376","Philip Zhao","6 students","F","F","True"
"Game Playing: Board or Card Games","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55219","Clare Dixon","5 students","F","F","False"
